age,education_level,gender,income_level,jeanstype,purchase_frequency,purchase_channel,brand_preference,sustainable_purchase_history,barrier_awareness,barrier_unimportant,barrier_doubt,barrier_new_concept,barrier_style,barrier_habit,barrier_variety,barrier_other_text,importance_durability,importance_organic_materials,importance_recycled_materials,importance_biodegradable,importance_eco_friendly_dyeing,importance_ethical_production
27.0,2,1,3,Slim Fit Mom Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",,,,,,,,6.0,6.0,4.0,4.0,5.0,6.0
24.0,2,1,2,Bootcut Jeans,Yılda bir kez,Online alışveriş sitelerinden ve uygulamalardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Çok pahalılar,,,,,,,6.0,3.0,3.0,3.0,3.0,4.0
22.0,1,1,1,Slim Fit Mom Jeans,Yılda bir kez,Mağazalardan,Emin değilim,Hayır,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,Nereden alabileceğimi bilmiyorum,,,,,,,6.0,5.0,3.0,3.0,5.0,5.0
29.0,1,1,2,Slim Fit Mom Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,,,,,,,,7.0,7.0,5.0,5.0,7.0,7.0
24.0,2,1,1,Slim Fit Mom Jeans,Yılda bir kereden az,Online alışveriş sitelerinden ve uygulamalardan,Hızlı moda markası,Hayır,Çok pahalılar,Hızlı moda markalarının seçenekleri daha fazla,Alışveriş ve/veya marka alışkanlıklarımı değiştirmek istemiyorum,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",Nereden alabileceğimi bilmiyorum,,,4.0,3.0,3.0,3.0,3.0,2.0
31.0,3,1,3,Skinny Jeans,Yılda 4-5 kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Alışveriş ve/veya marka alışkanlıklarımı değiştirmek istemiyorum,Hızlı moda markalarının seçenekleri daha fazla,Diğer (Lütfen belirtiniz),,,,Kendine uygun bir pantolon bulmak çok zor,5.0,5.0,5.0,5.0,7.0,7.0
27.0,3,1,3,Slim Fit Mom Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",,,,,,,5.0,4.0,4.0,4.0,4.0,4.0
25.0,2,1,2,Slim Fit Mom Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,,,,,,,7.0,7.0,4.0,4.0,5.0,7.0
22.0,1,1,1,Slim Fit Mom Jeans,Yılda bir kereden az,Hem mağazalardan hem de online platformlardan,Emin değilim,Evet,,,,,,,,,4.0,5.0,4.0,4.0,4.0,6.0
27.0,3,1,3,Slim Fit Mom Jeans,Yılda 5'ten fazla,Hem mağazalardan hem de online platformlardan,Hızlı moda markası,Hayır,Nereden alabileceğimi bilmiyorum,Hızlı moda markalarının seçenekleri daha fazla,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,,,,,,6.0,6.0,7.0,7.0,7.0,7.0
27.0,2,1,2,Boyfriend Jeans,Yılda 2-3 kez,Mağazalardan,Emin değilim,Hayır,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,Çok pahalılar,,,,,,5.0,5.0,2.0,2.0,2.0,3.0
29.0,2,1,3,Slim Fit Mom Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markalarının sürdürülebilir/yeşil koleksiyonları,Evet,,,,,,,,,7.0,6.0,5.0,5.0,5.0,5.0
22.0,1,1,3,Bootcut Jeans,Yılda bir kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,Çok pahalılar,,,,,,6.0,6.0,5.0,5.0,5.0,7.0
25.0,2,1,4,Bootcut Jeans,Yılda bir kez,Mağazalardan,Emin değilim,Hayır,Alışveriş ve/veya marka alışkanlıklarımı değiştirmek istemiyorum,Hızlı moda markalarının seçenekleri daha fazla,Çok pahalılar,,,,,,4.0,4.0,4.0,4.0,4.0,4.0
24.0,2,1,1,Slim Fit Mom Jeans,Yılda bir kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,,,,,,,,6.0,6.0,6.0,6.0,6.0,6.0
23.0,1,1,1,Bootcut Jeans,Yılda bir kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markası,Hayır,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,,,,,,,,6.0,6.0,7.0,7.0,7.0,7.0
26.0,3,1,4,Slim Fit Mom Jeans,Yılda 4-5 kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,,,,,,,5.0,5.0,5.0,4.0,5.0,5.0
36.0,2,0,1,Regular Fit Normal Kalıp,Yılda 2-3 kez,Online alışveriş sitelerinden ve uygulamalardan,Hızlı moda markası,Hayır,Nereden alabileceğimi bilmiyorum,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,,,,,,,7.0,7.0,4.0,4.0,7.0,7.0
22.0,1,1,1,Slim Fit Mom Jeans,Yılda bir kereden az,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Çok pahalılar,,,,,,,,7.0,7.0,4.0,3.0,7.0,6.0
38.0,2,1,3,Skinny Jeans,Yılda 2-3 kez,Online alışveriş sitelerinden ve uygulamalardan,Sürdürülebilir moda markası,Evet,,,,,,,,,6.0,7.0,6.0,6.0,7.0,6.0
20.0,1,1,1,Bootcut Jeans,Yılda bir kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Çok pahalılar,,,,,,,,7.0,7.0,4.0,7.0,7.0,7.0
29.0,2,1,2,Slim Fit Mom Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markalarının sürdürülebilir/yeşil koleksiyonları,Evet,,,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0
21.0,1,1,3,Bootcut Jeans,Yılda bir kereden az,Mağazalardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,,,,,,,6.0,6.0,5.0,6.0,5.0,7.0
21.0,1,1,1,Skinny Jeans,Yılda bir kereden az,Mağazalardan,Hızlı moda markası,Hayır,Nereden alabileceğimi bilmiyorum,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,Çok pahalılar,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,,,,,6.0,4.0,3.0,2.0,2.0,3.0
22.0,1,1,1,Slim Fit Mom Jeans,Yılda bir kez,Mağazalardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,Çok pahalılar,Mağazalarda deneme imkanım yok,,,,,7.0,6.0,5.0,5.0,5.0,5.0
27.0,3,1,2,Slim Fit Mom Jeans,Yılda bir kereden az,Mağazalardan,Sürdürülebilir moda markası,Hayır,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,Nereden alabileceğimi bilmiyorum,,,,,,,7.0,6.0,6.0,6.0,6.0,6.0
34.0,2,1,4,Slim Fit Mom Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Hızlı moda markalarının seçenekleri daha fazla,Çok pahalılar,,,,,,6.0,7.0,7.0,7.0,7.0,7.0
21.0,1,0,1,Regular Fit Normal Kalıp,Yılda bir kez,Mağazalardan,Hızlı moda markası,Hayır,Nereden alabileceğimi bilmiyorum,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,Hızlı moda markalarının seçenekleri daha fazla,Çok pahalılar,,,,7.0,5.0,5.0,3.0,7.0,7.0
31.0,1,0,3,Regular Fit Normal Kalıp,Yılda bir kereden az,Mağazalardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,Mağazalarda deneme imkanım yok,,,,,,7.0,7.0,5.0,5.0,7.0,7.0
37.0,2,1,3,Boyfriend Jeans,Yılda bir kereden az,Mağazalardan,Hızlı moda markası,Hayır,Hızlı moda markalarının seçenekleri daha fazla,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,Çok pahalılar,,,,,,7.0,4.0,4.0,4.0,4.0,6.0
22.0,1,1,1,Slim Fit Mom Jeans,Yılda bir kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markalarının sürdürülebilir/yeşil koleksiyonları,Evet,,,,,,,,,5.0,5.0,5.0,5.0,5.0,6.0
22.0,2,1,1,Slim Fit Mom Jeans,Yılda bir kez,Mağazalardan,Sürdürülebilir moda markası,Evet,,,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0
29.0,2,0,3,Regular Fit Normal Kalıp,Yılda bir kez,Mağazalardan,Hızlı moda markası,Hayır,Sürdürülebilirlik konusunu önemsemiyorum,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,Alışveriş ve/veya marka alışkanlıklarımı değiştirmek istemiyorum,,,,,,2.0,1.0,1.0,1.0,1.0,1.0
25.0,1,0,1,Regular Fit Normal Kalıp,Yılda 2-3 kez,Mağazalardan,Sürdürülebilir moda markası,Evet,,,,,,,,,7.0,7.0,1.0,1.0,7.0,7.0
39.0,2,1,3,Slim Fit Mom Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,,,,,,,,6.0,6.0,6.0,7.0,7.0,6.0
21.0,1,1,1,Slim Fit Mom Jeans,Yılda bir kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,,,,,,,,7.0,5.0,5.0,5.0,6.0,5.0
21.0,1,1,1,Slim Fit Mom Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Çok pahalılar,,,,,,,7.0,5.0,4.0,5.0,6.0,5.0
21.0,1,1,1,Boyfriend Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markası,Evet,,,,,,,,,6.0,4.0,3.0,6.0,6.0,5.0
58.0,3,1,3,Skinny Jeans,Yılda bir kereden az,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,,,,,,7.0,7.0,5.0,4.0,4.0,4.0
25.0,2,0,3,Regular Fit Normal Kalıp,Yılda bir kez,Mağazalardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,,,,,,,5.0,4.0,6.0,4.0,5.0,6.0
32.0,2,1,2,Slim Fit Mom Jeans,Yılda bir kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markası,Evet,,,,,,,,,6.0,6.0,5.0,5.0,5.0,5.0
41.0,3,0,4,Slim Fit Dar Kesim,Yılda bir kereden az,Online alışveriş sitelerinden ve uygulamalardan,Hızlı moda markası,Hayır,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,Hızlı moda markalarının seçenekleri daha fazla,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,,,,,,5.0,5.0,5.0,5.0,5.0,6.0
35.0,2,1,3,Slim Fit Mom Jeans,Yılda bir kereden az,Online alışveriş sitelerinden ve uygulamalardan,Hızlı moda markası,Evet,,,,,,,,,6.0,4.0,6.0,4.0,5.0,5.0
36.0,2,1,3,Slim Fit Mom Jeans,Yılda bir kez,Hem mağazalardan hem de online platformlardan,Sürdürülebilir moda markası,Evet,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0
28.0,3,1,1,Slim Fit Mom Jeans,Yılda bir kez,Hem mağazalardan hem de online platformlardan,Sürdürülebilir moda markası,Hayır,Hızlı moda markalarının seçenekleri daha fazla,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,Çok pahalılar,,,,,,6.0,6.0,4.0,7.0,7.0,7.0
21.0,2,0,2,Comfort Fit Rahat Kesim,Yılda bir kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markası,Hayır,Sürdürülebilirlik konusunu önemsemiyorum,,,,,,,,7.0,7.0,4.0,2.0,2.0,6.0
37.0,3,1,4,Skinny Jeans,Yılda bir kereden az,Mağazalardan,Emin değilim,Hayır,Çok pahalılar,,,,,,,,6.0,6.0,3.0,6.0,6.0,3.0
41.0,3,1,4,Bootcut Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Diğer (Lütfen belirtiniz),,,,,,,Kolay erişim,7.0,7.0,7.0,7.0,7.0,7.0
25.0,2,1,1,Bootcut Jeans,Yılda bir kereden az,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,Çok pahalılar,,,,,5.0,5.0,5.0,5.0,5.0,5.0
50.0,2,0,3,Regular Fit Normal Kalıp,Yılda bir kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markası,Hayır,Nereden alabileceğimi bilmiyorum,Hızlı moda markalarının seçenekleri daha fazla,Mağazalarda deneme imkanım yok,,,,,,6.0,6.0,6.0,6.0,6.0,6.0
40.0,2,0,3,Slim Fit Dar Kesim,Yılda bir kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",Hızlı moda markalarının seçenekleri daha fazla,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,,,,,7.0,7.0,4.0,3.0,7.0,6.0
31.0,3,0,4,Regular Fit Normal Kalıp,Yılda bir kereden az,Mağazalardan,Emin değilim,Hayır,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,Diğer (Lütfen belirtiniz),,,,,Ürüne dokunduğumda uzun süre giyebileceğimi düşünmüyorum.,7.0,5.0,4.0,4.0,5.0,3.0
39.0,2,0,5,Regular Fit Normal Kalıp,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markası,Evet,,,,,,,,,7.0,7.0,4.0,4.0,5.0,6.0
34.0,2,1,1,Bootcut Jeans,Yılda bir kereden az,Mağazalardan,Emin değilim,Hayır,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,,,,,,,,6.0,7.0,6.0,7.0,7.0,6.0
28.0,1,1,1,Boyfriend Jeans,Yılda bir kereden az,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,,,,,,6.0,6.0,6.0,7.0,7.0,7.0
21.0,1,1,1,Slim Fit Mom Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Evet,,,,,,,,,5.0,5.0,3.0,1.0,5.0,5.0
41.0,3,1,4,Slim Fit Mom Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Hızlı moda markalarının seçenekleri daha fazla,Çok pahalılar,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0
34.0,2,0,3,Regular Fit Normal Kalıp,Yılda 2-3 kez,Mağazalardan,Hızlı moda markası,Hayır,Diğer (Lütfen belirtiniz),,,,,,,Boyum 2 metre ve ülkemizde maalesef bedenimize uygun üretim yapılmadığı için belli başlı markaları tercih etmek zorunda kalıyoruz.,7.0,7.0,7.0,7.0,7.0,7.0
36.0,2,1,2,Boyfriend Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,Hızlı moda markalarının seçenekleri daha fazla,Diğer (Lütfen belirtiniz),,,,,bütçeme uygun değiller,7.0,6.0,,7.0,7.0,7.0
44.0,3,1,4,Slim Fit Mom Jeans,Yılda bir kereden az,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0
32.0,2,1,1,Slim Fit Mom Jeans,Yılda bir kereden az,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Çok pahalılar,,,,,,,,7.0,7.0,5.0,5.0,6.0,6.0
39.0,2,0,2,Yüksek Bel Regular Fit,Yılda bir kez,Online alışveriş sitelerinden ve uygulamalardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,,,,,,,7.0,4.0,4.0,4.0,6.0,6.0
41.0,3,1,4,Skinny Jeans,Yılda bir kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markalarının sürdürülebilir/yeşil koleksiyonları,Evet,,,,,,,,,7.0,7.0,4.0,7.0,7.0,7.0
46.0,3,0,6,Regular Fit Normal Kalıp,Yılda bir kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Alışveriş ve/veya marka alışkanlıklarımı değiştirmek istemiyorum,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0
35.0,3,1,7,Slim Fit Mom Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markası,Hayır,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0
37.0,2,0,5,Regular Fit Normal Kalıp,Yılda 2-3 kez,Mağazalardan,Hızlı moda markası,Hayır,Nereden alabileceğimi bilmiyorum,Sürdürülebilirlik konusunu önemsemiyorum,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,,,,,5.0,7.0,2.0,2.0,4.0,2.0
39.0,2,1,4,Boyfriend Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Evet,,,,,,,,,5.0,5.0,4.0,4.0,5.0,6.0
31.0,2,1,4,Skinny Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Alışveriş ve/veya marka alışkanlıklarımı değiştirmek istemiyorum,,,,,,,,6.0,4.0,4.0,4.0,5.0,6.0
43.0,2,1,2,Boyfriend Jeans,Yılda bir kereden az,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Hızlı moda markalarının seçenekleri daha fazla,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,,,,,,6.0,7.0,5.0,2.0,7.0,7.0
27.0,2,0,1,Regular Fit Normal Kalıp,Yılda bir kereden az,Mağazalardan,Emin değilim,Hayır,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,,,,,,,,5.0,4.0,3.0,3.0,3.0,3.0
26.0,2,1,1,Bootcut Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,Çok pahalılar,Diğer (Lütfen belirtiniz),,,"Kesinlikle ama kesinlikle ben 1 kot pantolonunu aldım diye maalesef ki dünyayı kurtaramayacağım fabrikaların, kapitalistlerin verdiği zararı geriye kalan biz işçe sınıfı yarısını vermiyoruz. Onları ikna edelim yani ancak agresif cevap için özür diler yine de elimden geleni yapmaya çalışırım.",7.0,6.0,4.0,4.0,7.0,7.0
31.0,2,1,1,Boyfriend Jeans,Yılda bir kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Mağazalarda deneme imkanım yok,,,,,,,4.0,5.0,5.0,6.0,6.0,6.0
30.0,2,1,7,Bootcut Jeans,Yılda bir kereden az,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Diğer (Lütfen belirtiniz),,,,,,,Bu konu hakkind abilgim yok maalesef,7.0,7.0,6.0,7.0,7.0,7.0
34.0,3,0,4,Slim Fit Dar Kesim,Yılda bir kez,Mağazalardan,Hızlı moda markası,Hayır,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",Çok pahalılar,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0
35.0,3,1,3,Boyfriend Jeans,Yılda bir kereden az,Hem mağazalardan hem de online platformlardan,Sürdürülebilir moda markası,Evet,,,,,,,,,7.0,7.0,6.0,5.0,6.0,6.0
42.0,3,0,4,Regular Fit Normal Kalıp,Yılda 4-5 kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markalarının sürdürülebilir/yeşil koleksiyonları,Evet,,,,,,,,,6.0,7.0,7.0,7.0,7.0,7.0
44.0,3,1,4,Slim Fit Mom Jeans,Yılda bir kereden az,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,,,,,,,,6.0,6.0,5.0,5.0,6.0,6.0
23.0,2,0,3,Comfort Fit Rahat Kesim,Yılda 4-5 kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markası,Hayır,Nereden alabileceğimi bilmiyorum,Sürdürülebilirlik konusunu önemsemiyorum,,,,,,,6.0,7.0,4.0,4.0,7.0,7.0
23.0,1,1,1,Boyfriend Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markası,Hayır,Çok pahalılar,,,,,,,,6.0,6.0,6.0,4.0,6.0,6.0
31.0,2,0,4,Regular Fit Normal Kalıp,Yılda bir kez,Mağazalardan,Emin değilim,Hayır,Alışveriş ve/veya marka alışkanlıklarımı değiştirmek istemiyorum,,,,,,,,7.0,6.0,6.0,5.0,5.0,6.0
41.0,2,0,4,Regular Fit Normal Kalıp,Yılda bir kez,Hem mağazalardan hem de online platformlardan,Sürdürülebilir moda markası,Evet,,,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0
58.0,3,0,4,Slim Fit Dar Kesim,Yılda bir kereden az,Hem mağazalardan hem de online platformlardan,Hızlı moda markası,Hayır,Çok pahalılar,,,,,,,,6.0,6.0,6.0,6.0,7.0,6.0
39.0,2,0,4,Regular Fit Normal Kalıp,Yılda bir kereden az,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,,,,,,4.0,4.0,4.0,4.0,4.0,4.0
45.0,2,0,3,Regular Fit Normal Kalıp,Yılda bir kereden az,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Diğer (Lütfen belirtiniz),,,,,,,Pek kot giymem,6.0,6.0,4.0,4.0,5.0,4.0
37.0,2,0,5,Regular Fit Normal Kalıp,Yılda bir kereden az,Mağazalardan,Hızlı moda markası,Hayır,Nereden alabileceğimi bilmiyorum,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,Hızlı moda markalarının seçenekleri daha fazla,,,,,7.0,5.0,4.0,4.0,5.0,4.0
44.0,2,1,2,Bootcut Jeans,Yılda bir kereden az,Hem mağazalardan hem de online platformlardan,Sürdürülebilir moda markası,Evet,,,,,,,,,6.0,7.0,6.0,5.0,5.0,5.0
36.0,3,0,5,Regular Fit Normal Kalıp,Yılda 2-3 kez,Online alışveriş sitelerinden ve uygulamalardan,Hızlı moda markalarının sürdürülebilir/yeşil koleksiyonları,Evet,,,,,,,,,5.0,5.0,6.0,5.0,6.0,5.0
31.0,2,1,2,Boyfriend Jeans,Yılda bir kez,Mağazalardan,Hızlı moda markalarının sürdürülebilir/yeşil koleksiyonları,Evet,,,,,,,,,6.0,7.0,6.0,5.0,6.0,6.0
39.0,2,0,4,Regular Fit Normal Kalıp,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markası,Evet,,,,,,,,,6.0,6.0,6.0,5.0,6.0,6.0
34.0,2,1,2,Slim Fit Mom Jeans,Yılda 5'ten fazla,Online alışveriş sitelerinden ve uygulamalardan,Sürdürülebilir moda markası,Evet,,,,,,,,,5.0,6.0,6.0,5.0,6.0,5.0
21.0,1,0,1,Regular Fit Normal Kalıp,Yılda 2-3 kez,Mağazalardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,Mağazalarda deneme imkanım yok,,,,,,7.0,7.0,7.0,7.0,7.0,7.0
34.0,3,1,4,Slim Fit Mom Jeans,Yılda bir kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,,,,,,,6.0,6.0,5.0,6.0,7.0,7.0
47.0,2,0,4,Regular Fit Normal Kalıp,Yılda 2-3 kez,Mağazalardan,Hızlı moda markası,Hayır,Nereden alabileceğimi bilmiyorum,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,Çok pahalılar,,,,,,5.0,6.0,6.0,5.0,6.0,6.0
35.0,1,0,7,Regular Fit Normal Kalıp,Yılda 2-3 kez,Mağazalardan,Emin değilim,Evet,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0
21.0,1,0,1,Yüksek Bel Regular Fit,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markalarının sürdürülebilir/yeşil koleksiyonları,Evet,,,,,,,,,7.0,6.0,6.0,6.0,6.0,7.0
21.0,2,0,1,Comfort Fit Rahat Kesim,Yılda bir kereden az,Mağazalardan,Emin değilim,Hayır,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,,,,,,,,4.0,4.0,3.0,3.0,3.0,4.0
37.0,2,0,3,Slim Fit Dar Kesim,Yılda bir kez,Mağazalardan,Emin değilim,Hayır,Çok pahalılar,,,,,,,,3.0,2.0,4.0,6.0,6.0,6.0
21.0,2,0,1,Yüksek Bel Regular Fit,Yılda 2-3 kez,Mağazalardan,Hızlı moda markası,Hayır,Nereden alabileceğimi bilmiyorum,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,Çok pahalılar,,,,6.0,5.0,1.0,4.0,5.0,5.0
